,dataset,file_name,width,height,mpp_x,mpp_y,width_microns,height_microns,manufacturer,magnification,tiff.XResolution,tiff.YResolution,resolution_mpp_x,resolution_mpp_y
279,tcga_luad,TCGA-67-6217-01Z-00-DX1.3fa5c69b-60d1-41fb-a86f-48f77d81285f.svs,130457,52198,0.252,0.252,32875.164,13153.896,aperio,40,,,,
280,tcga_luad,TCGA-55-8299-01Z-00-DX1.6F652EC5-EBB8-499C-A66D-E0951FBFCAA2.svs,35856,46200,0.2457,0.2457,8809.8192,11351.34,aperio,40,,,,
281,tcga_luad,TCGA-55-8089-01Z-00-DX1.da4d99ff-4a7c-45a3-b79c-039c0c9e9712.svs,19184,21609,0.252,0.252,4834.368,5445.468,aperio,40,,,,
282,tcga_luad,TCGA-97-A4M3-01Z-00-DX1.16330A66-2501-48D2-AF6A-713698BF6918.svs,125444,84602,0.2485,0.2485,31172.834,21023.597,aperio,40,,,,
283,tcga_luad,TCGA-MP-A4TH-01Z-00-DX1.E89D2C19-F9B2-4BF2-AA5F-6104CBC076D1.svs,107568,72635,0.2525,0.2525,27160.920000000002,18340.3375,aperio,40,,,,
284,tcga_luad,TCGA-97-7554-01Z-00-DX1.4107ca63-4642-42b9-b6f2-13778ecaf9a7.svs,119952,92684,0.2456,0.2456,29460.2112,22763.1904,aperio,40,,,,
285,tcga_luad,TCGA-55-8621-01Z-00-DX1.7C519007-D59D-432A-BF4D-23D14A1C8BB6.svs,36451,35444,0.252,0.252,9185.652,8931.888,aperio,40,,,,
286,tcga_luad,TCGA-62-A46R-01Z-00-DX1.AD823FBA-A63F-4D36-8B84-2C995DE5FC47.svs,88452,65633,0.2517,0.2517,22263.3684,16519.8261,aperio,40,,,,
287,tcga_luad,TCGA-64-5774-01Z-00-DX1.5E3B95EB-BF45-4687-BCF7-AA2A41AA806C.svs,49799,52795,0.2527,0.2527,12584.207299999998,13341.296499999999,aperio,40,,,,
288,tcga_luad,TCGA-55-A48X-01Z-00-DX1.A46C6373-8458-4D55-88C3-4C70A05F9F47.svs,30695,21707,0.252,0.252,7735.14,5470.164,aperio,40,,,,
289,tcga_luad,TCGA-55-A494-01Z-00-DX1.8C7C4BE0-791A-47CA-B0A8-1935366350E0.svs,161153,37485,0.252,0.252,40610.556,9446.22,aperio,40,,,,
290,tcga_luad,TCGA-67-3770-01Z-00-DX1.4C14BE72-905C-4AAE-B07A-6437D98A23FA.svs,129479,33832,0.2527,0.2527,32719.343299999997,8549.346399999999,aperio,40,,,,
291,tcga_luad,TCGA-86-8359-01Z-00-DX1.11B8FDC3-4B84-4A22-B89D-46EA76345F13.svs,132375,86446,0.252,0.252,33358.5,21784.392,aperio,40,,,,
292,tcga_luad,TCGA-50-6593-01Z-00-DX1.a63e298c-cbe7-44e8-8d8e-34ebb93530ca.svs,116068,54105,0.252,0.252,29249.136,13634.460000000001,aperio,40,,,,
293,tcga_luad,TCGA-NJ-A55A-01Z-00-DX1.42C356FE-52A3-4A60-886B-75F84ADBC534.svs,107567,89510,0.2527,0.2527,27182.1809,22619.177,aperio,40,,,,
294,tcga_luad,TCGA-49-6743-01Z-00-DX4.5ea81023-1372-48ed-88a8-374e2394d7f7.svs,108394,60893,0.252,0.252,27315.288,15345.036,aperio,40,,,,
295,tcga_luad,TCGA-49-4510-01Z-00-DX1.0b7c713f-6f72-42c3-967d-7e19a280e761.svs,123742,62028,0.252,0.252,31182.984,15631.056,aperio,40,,,,
296,tcga_luad,TCGA-55-6987-01Z-00-DX1.0c52b721-2209-4818-af8f-b22d37e6e81e.svs,28777,24731,0.252,0.252,7251.804,6232.212,aperio,40,,,,
297,tcga_luad,TCGA-44-6775-01Z-00-DX1.38d3bc6d-8bb5-4126-8d61-d39e6a1d7bcf.svs,162112,59811,0.252,0.252,40852.224,15072.372,aperio,40,,,,
298,tcga_luad,TCGA-78-7161-01Z-00-DX1.646cf15a-5961-4728-b9fe-fe3fff11831f.svs,94965,77262,0.252,0.252,23931.18,19470.024,aperio,40,,,,
299,tcga_luad,TCGA-05-4395-01Z-00-DX1.20205276-ca16-46b2-914a-fe5e576a5cf9.svs,48384,26880,0.2325,0.2325,11249.28,6249.6,aperio,20,,,,
300,tcga_luad,TCGA-55-A493-01Z-00-DX1.1CF94B85-7A64-4213-9B04-16504512DE2E.svs,26858,39428,0.252,0.252,6768.216,9935.856,aperio,40,,,,
