wsi_id,mean_superpixel_area,magnification,mpp_x,mpp_y,norm_mpp_x,norm_mpp_y
C3L-04378-28,90964.04889473753,20.0,0.5031,0.5031,0.25155,0.25155
C3L-03961-24,356251.09983276884,20.0,0.4942,0.4942,0.2471,0.2471
C3L-02646-26,226003.02123930777,20.0,0.4942,0.4942,0.2471,0.2471
C3L-05369-23,480428.3895007818,20.0,0.5031,0.5031,0.25155,0.25155
C3L-02624-25,477297.3039453487,20.0,0.4942,0.4942,0.2471,0.2471
C3L-04861-27,475201.96945190104,20.0,0.5031,0.5031,0.25155,0.25155
C3L-02660-25,422077.77656066837,20.0,0.4942,0.4942,0.2471,0.2471
C3N-01768-26,310446.4182308605,20.0,0.5031,0.5031,0.25155,0.25155
C3L-02646-25,368397.9293050876,20.0,0.4942,0.4942,0.2471,0.2471
C3L-04334-23,437978.1087529976,20.0,0.5031,0.5031,0.25155,0.25155
C3L-05427-21,460733.47898888314,20.0,0.5031,0.5031,0.25155,0.25155
C3L-02625-21,389756.84420219203,20.0,0.4942,0.4942,0.2471,0.2471
C3N-02523-22,320472.438126103,20.0,0.4942,0.4942,0.2471,0.2471
C3L-02164-27,480254.34056301316,20.0,0.4942,0.4942,0.2471,0.2471
C3N-01893-22,270241.5238152189,20.0,0.4942,0.4942,0.2471,0.2471
C3L-05395-26,579454.624027296,20.0,0.5031,0.5031,0.25155,0.25155
C3L-04804-26,208403.6996607413,20.0,0.5031,0.5031,0.25155,0.25155
C3L-03965-22,442385.6491820179,20.0,0.4942,0.4942,0.2471,0.2471
C3N-02283-22,233421.62535552567,20.0,0.4942,0.4942,0.2471,0.2471
C3L-02127-26,403652.0341104266,20.0,0.4942,0.4942,0.2471,0.2471
C3L-05393-21,411886.6060260422,20.0,0.5031,0.5031,0.25155,0.25155
C3L-03982-24,351148.5093994945,20.0,0.5031,0.5031,0.25155,0.25155
C3L-04858-25,427809.2859511598,20.0,0.5031,0.5031,0.25155,0.25155
C3L-04749-23,450529.54997832346,20.0,0.5031,0.5031,0.25155,0.25155
C3L-03965-28,458768.6902558406,20.0,0.4942,0.4942,0.2471,0.2471
C3N-03092-21,432324.5039230075,20.0,0.4942,0.4942,0.2471,0.2471
C3L-04912-24,542801.5737035974,20.0,0.5031,0.5031,0.25155,0.25155
C3L-04854-26,377411.2625978218,20.0,0.5031,0.5031,0.25155,0.25155
C3L-00965-22,293199.3095735964,20.0,0.4942,0.4942,0.2471,0.2471
C3L-04889-25,335117.3998506139,20.0,0.5031,0.5031,0.25155,0.25155
C3L-04880-28,292343.12232569087,20.0,0.5031,0.5031,0.25155,0.25155
C3N-03880-21,363265.8099906139,20.0,0.4942,0.4942,0.2471,0.2471
C3L-04921-25,410217.528481464,20.0,0.5031,0.5031,0.25155,0.25155
C3L-04880-27,298111.343302479,20.0,0.5031,0.5031,0.25155,0.25155
C3L-05397-28,519758.8043252587,20.0,0.5031,0.5031,0.25155,0.25155
C3L-04804-25,460138.3348892386,20.0,0.5031,0.5031,0.25155,0.25155
C3L-02669-23,336563.0694422828,20.0,0.4942,0.4942,0.2471,0.2471
C3N-04457-21,404594.6702736509,20.0,0.5031,0.5031,0.25155,0.25155
C3L-05176-21,488535.1773033599,20.0,0.5031,0.5031,0.25155,0.25155
C3L-04749-27,495137.21223961393,20.0,0.5031,0.5031,0.25155,0.25155
C3L-05397-26,519273.39689458,20.0,0.5031,0.5031,0.25155,0.25155
C3N-02435-26,290862.86525530496,20.0,0.4942,0.4942,0.2471,0.2471
C3L-04866-26,406359.78050648887,20.0,0.5031,0.5031,0.25155,0.25155
C3L-02669-24,349751.537491891,20.0,0.4942,0.4942,0.2471,0.2471
C3N-02494-24,332693.86098584445,20.0,0.4942,0.4942,0.2471,0.2471
C3L-02669-25,350711.40320613165,20.0,0.4942,0.4942,0.2471,0.2471
C3L-01884-23,263655.3786396201,20.0,0.4942,0.4942,0.2471,0.2471
C3L-02963-23,380956.3952626939,20.0,0.4942,0.4942,0.2471,0.2471
C3N-04701-29,520943.8466959839,20.0,0.5031,0.5031,0.25155,0.25155
C3N-01025-27,395711.5389292859,20.0,0.4942,0.4942,0.2471,0.2471
C3N-00221-24,387901.128330144,20.0,0.4942,0.4942,0.2471,0.2471
C3N-04127-23,369777.11811774934,20.0,0.4942,0.4942,0.2471,0.2471
C3L-02164-26,416855.15211496264,20.0,0.4942,0.4942,0.2471,0.2471
C3L-02648-29,309131.4007767421,20.0,0.4942,0.4942,0.2471,0.2471
C3L-03961-27,157585.27070449156,20.0,0.4942,0.4942,0.2471,0.2471
C3N-03848-21,329026.53764452075,20.0,0.4942,0.4942,0.2471,0.2471
C3L-04916-25,442075.7181477473,20.0,0.5031,0.5031,0.25155,0.25155
C3L-04379-27,508290.0222111815,20.0,0.5031,0.5031,0.25155,0.25155
C3L-04868-25,457647.6076914287,20.0,0.5031,0.5031,0.25155,0.25155
C3L-05423-25,429052.18430861004,20.0,0.5031,0.5031,0.25155,0.25155
C3L-05397-22,448017.2180823192,20.0,0.5031,0.5031,0.25155,0.25155
C3L-05172-21,467583.1731745145,20.0,0.5031,0.5031,0.25155,0.25155
C3L-04873-21,446597.5695034522,20.0,0.5031,0.5031,0.25155,0.25155
C3N-02434-26,339580.7649406938,20.0,0.4942,0.4942,0.2471,0.2471
C3L-01455-21,295428.939567751,20.0,0.4942,0.4942,0.2471,0.2471
C3N-02374-22,411494.58578852477,20.0,0.4942,0.4942,0.2471,0.2471
C3N-01025-26,382425.167822467,20.0,0.4942,0.4942,0.2471,0.2471
C3L-02619-28,509005.4078538942,20.0,0.4942,0.4942,0.2471,0.2471
C3L-04922-23,490387.4067682767,20.0,0.5031,0.5031,0.25155,0.25155
C3L-02648-23,424968.45742991933,20.0,0.4942,0.4942,0.2471,0.2471
C3L-02164-21,410118.5990458423,20.0,0.4942,0.4942,0.2471,0.2471
C3L-04856-21,501219.7397379252,20.0,0.5031,0.5031,0.25155,0.25155
C3N-03072-22,348308.7559747477,20.0,0.4942,0.4942,0.2471,0.2471
C3N-02289-26,287957.3522808918,20.0,0.4942,0.4942,0.2471,0.2471
C3L-05393-24,418596.83255167876,20.0,0.5031,0.5031,0.25155,0.25155
C3L-04334-22,471559.98844796675,20.0,0.5031,0.5031,0.25155,0.25155
C3L-05212-21,452236.58960153774,20.0,0.5031,0.5031,0.25155,0.25155
C3L-04863-25,518911.7814983062,20.0,0.5031,0.5031,0.25155,0.25155
C3L-02624-28,436438.4883313951,20.0,0.4942,0.4942,0.2471,0.2471
C3L-04792-21,397368.30599249224,20.0,0.5031,0.5031,0.25155,0.25155
C3N-03093-21,428959.82916835666,20.0,0.4942,0.4942,0.2471,0.2471
C3L-02649-27,323899.7446300363,20.0,0.4942,0.4942,0.2471,0.2471
C3L-04873-25,434545.6705365105,20.0,0.5031,0.5031,0.25155,0.25155
C3L-05420-26,522715.475991392,20.0,0.5031,0.5031,0.25155,0.25155
C3N-00247-28,407168.60935156787,20.0,0.4942,0.4942,0.2471,0.2471
C3L-02665-21,372686.3254946229,20.0,0.4942,0.4942,0.2471,0.2471
C3N-05629-26,142319.41708935864,20.0,0.5031,0.5031,0.25155,0.25155
C3N-00211-26,425064.9559009433,20.0,0.4942,0.4942,0.2471,0.2471
C3L-01663-21,391487.5109260565,20.0,0.4942,0.4942,0.2471,0.2471
C3L-05420-21,543068.1173549102,20.0,0.5031,0.5031,0.25155,0.25155
C3L-04874-25,392239.9093261451,20.0,0.5031,0.5031,0.25155,0.25155
C3L-00927-23,342094.4652999044,20.0,0.4942,0.4942,0.2471,0.2471
C3L-05369-22,543485.692304364,20.0,0.5031,0.5031,0.25155,0.25155
C3L-03963-23,401893.0941588023,20.0,0.4942,0.4942,0.2471,0.2471
C3L-05422-27,291583.98238101363,20.0,0.5031,0.5031,0.25155,0.25155
C3L-02665-26,155191.97818852376,20.0,0.4942,0.4942,0.2471,0.2471
C3L-05022-21,365950.03871162626,20.0,0.5031,0.5031,0.25155,0.25155
C3L-02168-22,434822.10584724817,20.0,0.4942,0.4942,0.2471,0.2471
C3L-00415-26,347472.5450718641,20.0,0.4942,0.4942,0.2471,0.2471
C3L-04880-23,439302.40742606047,20.0,0.5031,0.5031,0.25155,0.25155
C3N-02284-21,256819.42452297529,20.0,0.4942,0.4942,0.2471,0.2471
C3N-03425-29,536152.5279317679,20.0,0.4942,0.4942,0.2471,0.2471
C3L-04409-26,541064.6783444475,20.0,0.5031,0.5031,0.25155,0.25155
C3L-04887-27,514119.3544388399,20.0,0.5031,0.5031,0.25155,0.25155
C3L-04071-23,293530.1270943139,20.0,0.4942,0.4942,0.2471,0.2471
C3L-04871-25,356396.84460894944,20.0,0.5031,0.5031,0.25155,0.25155
C3L-05176-23,468977.4620836179,20.0,0.5031,0.5031,0.25155,0.25155
C3L-03962-22,345741.1530133266,20.0,0.4942,0.4942,0.2471,0.2471
C3L-04367-21,336622.35397900327,20.0,0.4942,0.4942,0.2471,0.2471
C3L-04888-24,376539.7568978921,20.0,0.5031,0.5031,0.25155,0.25155
C3N-00555-23,458778.7792885747,20.0,0.4942,0.4942,0.2471,0.2471
C3L-04861-21,465831.1179812358,20.0,0.5031,0.5031,0.25155,0.25155
C3L-04873-23,434041.31846284855,20.0,0.5031,0.5031,0.25155,0.25155
C3L-04912-26,475286.76823646657,20.0,0.5031,0.5031,0.25155,0.25155
C3L-04361-26,455596.3299483158,20.0,0.4942,0.4942,0.2471,0.2471
C3L-05022-23,331377.47665667883,20.0,0.5031,0.5031,0.25155,0.25155
C3L-03965-26,404296.1026958462,20.0,0.4942,0.4942,0.2471,0.2471
C3L-02127-24,406726.65474512416,20.0,0.4942,0.4942,0.2471,0.2471
C3L-02624-26,398614.82969117566,20.0,0.4942,0.4942,0.2471,0.2471
C3L-02130-26,312628.789499896,20.0,0.4942,0.4942,0.2471,0.2471
C3L-05145-23,408964.2999700029,20.0,0.5031,0.5031,0.25155,0.25155
C3N-01018-23,474843.1300955562,20.0,0.4942,0.4942,0.2471,0.2471
C3L-05225-24,479339.312889687,20.0,0.5031,0.5031,0.25155,0.25155
C3L-00923-23,433388.1913296202,20.0,0.4942,0.4942,0.2471,0.2471
C3L-03963-24,415535.4938023116,20.0,0.4942,0.4942,0.2471,0.2471
C3N-02426-21,404340.4890625911,20.0,0.4942,0.4942,0.2471,0.2471
C3L-04863-23,461797.5323420426,20.0,0.5031,0.5031,0.25155,0.25155
C3L-02648-26,254300.4671321107,20.0,0.4942,0.4942,0.2471,0.2471
C3L-05423-21,397857.88666326355,20.0,0.5031,0.5031,0.25155,0.25155
C3L-04916-28,601615.5464164909,20.0,0.5031,0.5031,0.25155,0.25155
C3L-04878-24,458485.1502677821,20.0,0.5031,0.5031,0.25155,0.25155
C3L-05397-23,417327.0016104804,20.0,0.5031,0.5031,0.25155,0.25155
C3L-04391-23,292945.03561699943,20.0,0.4942,0.4942,0.2471,0.2471
C3N-03092-27,333808.37473091716,20.0,0.4942,0.4942,0.2471,0.2471
C3N-05929-25,322071.6832584335,20.0,0.5031,0.5031,0.25155,0.25155
C3L-02170-24,418670.34996731905,20.0,0.4942,0.4942,0.2471,0.2471
C3L-05399-23,468796.2775590474,20.0,0.5031,0.5031,0.25155,0.25155
C3L-02130-25,593645.1441088353,20.0,0.4942,0.4942,0.2471,0.2471
C3L-00081-21,397125.04161437287,20.0,0.4942,0.4942,0.2471,0.2471
C3L-04858-23,420557.8733336728,20.0,0.5031,0.5031,0.25155,0.25155
C3N-02374-21,414395.284215635,20.0,0.4942,0.4942,0.2471,0.2471
C3L-02669-26,355891.41725090845,20.0,0.4942,0.4942,0.2471,0.2471
C3L-00965-23,378125.8562946213,20.0,0.4942,0.4942,0.2471,0.2471
C3N-01020-23,563250.7728295735,20.0,0.4942,0.4942,0.2471,0.2471
C3N-01017-21,454164.9091317249,20.0,0.4942,0.4942,0.2471,0.2471
C3L-03961-25,413850.00004725024,20.0,0.4942,0.4942,0.2471,0.2471
C3L-04367-25,307402.6176905519,20.0,0.4942,0.4942,0.2471,0.2471
C3L-03963-22,389934.2678257934,20.0,0.4942,0.4942,0.2471,0.2471
C3L-05417-27,362866.7492539625,20.0,0.5031,0.5031,0.25155,0.25155
C3L-05022-22,350603.6615879721,20.0,0.5031,0.5031,0.25155,0.25155
C3L-04804-21,420135.18599504593,20.0,0.5031,0.5031,0.25155,0.25155
C3N-00247-23,324864.9748724404,20.0,0.4942,0.4942,0.2471,0.2471
C3L-05393-23,415464.09769598756,20.0,0.5031,0.5031,0.25155,0.25155
C3L-02665-27,92197.14520700865,20.0,0.4942,0.4942,0.2471,0.2471
C3N-04167-26,505867.1784004165,20.0,0.5031,0.5031,0.25155,0.25155
C3L-06169-25,407603.51718129555,20.0,0.5031,0.5031,0.25155,0.25155
C3L-03987-27,388986.91205612215,20.0,0.5031,0.5031,0.25155,0.25155
C3N-03076-23,525146.5430263978,20.0,0.4942,0.4942,0.2471,0.2471
